,# of A,# of B,# of X,W_A,EN_A,EA_A,1st IE_A,2nd IE_A,3rd IE_A,AR_A,CR_A,IR_A,D_A,S_A,HV_A,W_B,EN_B,EA_B,1st IE_B,2nd IE_B,3rd IE_B,AR_B,CR_B,IR_B,D_B,S_B,HV_B,OS_B,W_X,EN_X,EA_X,1st IE_X,2nd IE_X,3rd IE_X,AR_X,CR_X,IR_X,D_X,S_X,HV_X,t(AR),t(IR),u(AR),u(IR),Eg_ref,Eg_cal_cubic,Eg_cal_rhom
CsMgBr3,1,1,3,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,24.31,1.31,-40.00,737.70,1450.70,7732.70,145.00,130.00,0.72,1738.00,1020.00,128.00,2.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.16,1.01,1.54,0.37,3.78,3.78,3.78
CsMgCl3,1,1,3,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,24.31,1.31,-40.00,737.70,1450.70,7732.70,145.00,130.00,0.72,1738.00,1020.00,128.00,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.19,1.03,1.84,0.40,5.55,5.55,5.55
CsMgI3,1,1,3,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,24.31,1.31,-40.00,737.70,1450.70,7732.70,145.00,130.00,0.72,1738.00,1020.00,128.00,2.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,1.12,0.99,1.26,0.33,1.97,1.97,1.97
CsMnBr3,1,1,3,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,54.94,1.55,-50.00,717.30,1509.00,3248.00,161.00,139.00,0.83,7470.00,479.00,220.00,2.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.09,0.97,1.71,0.42,2.46,2.46,2.46
CsMnCl3,1,1,3,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,54.94,1.55,-50.00,717.30,1509.00,3248.00,161.00,139.00,0.83,7470.00,479.00,220.00,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.11,0.99,2.04,0.46,3.17,3.17,3.17
CsMnI3,1,1,3,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,54.94,1.55,-50.00,717.30,1509.00,3248.00,161.00,139.00,0.83,7470.00,479.00,220.00,2.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,1.06,0.95,1.40,0.38,1.09,1.09,1.09
CsNiCl3,1,1,3,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,58.69,1.91,112.00,737.10,1753.00,3395.00,149.00,121.00,0.69,8908.00,445.00,378.00,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.17,1.04,1.89,0.38,2.54,2.54,2.54
CsPbBr3,1,1,3,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,207.20,2.33,35.10,715.60,1450.50,3081.50,154.00,147.00,1.19,11340.00,127.00,178.00,2.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.12,0.86,1.64,0.61,1.26,1.26,1.26
CsPbCl3,1,1,3,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,207.20,2.33,35.10,715.60,1450.50,3081.50,154.00,147.00,1.19,11340.00,127.00,178.00,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.14,0.87,1.95,0.66,1.78,1.78,1.78
CsPbI3,1,1,3,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,207.20,2.33,35.10,715.60,1450.50,3081.50,154.00,147.00,1.19,11340.00,127.00,178.00,2.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,1.09,0.85,1.34,0.54,0.78,0.78,0.78
