,# of A,# of B,# of X,W_A,EN_A,EA_A,1st IE_A,2nd IE_A,3rd IE_A,AR_A,CR_A,IR_A,D_A,S_A,HV_A,W_B,EN_B,EA_B,1st IE_B,2nd IE_B,3rd IE_B,AR_B,CR_B,IR_B,D_B,S_B,HV_B,OS_B,W_X,EN_X,EA_X,1st IE_X,2nd IE_X,3rd IE_X,AR_X,CR_X,IR_X,D_X,S_X,HV_X,t(AR),t(IR),u(AR),u(IR),Eg_ref,Eg_cal_cubic,Eg_cal_rhom
RbSnI3,1,1,3,85.47,0.82,46.90,403.00,2633.00,3860.00,265.00,211.00,1.72,1532.00,364.00,72.00,118.71,1.61,42.50,577.50,1411.80,2943.00,145.00,118.00,0.69,2700.00,217.00,293.00,2.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,1.03,0.96,1.26,0.31,0.19,0.19,0.19
Cs2PbBr6,2,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,207.20,2.33,35.10,715.60,1450.50,3081.50,154.00,147.00,1.19,11340.00,127.00,178.00,2.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.12,0.86,1.64,0.61,0.99,1.50,1.59
Cs2PbCl6,2,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,207.20,2.33,35.10,715.60,1450.50,3081.50,154.00,147.00,1.19,11340.00,127.00,178.00,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.14,0.87,1.95,0.66,2.38,2.75,2.76
Cs2SnCl6,2,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,118.71,1.61,42.50,577.50,1411.80,2943.00,145.00,118.00,0.69,2700.00,217.00,293.00,2.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,1.12,1.00,1.26,0.31,3.90,4.23,4.24
Cs2TeBr6,2,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,127.60,2.10,190.20,869.30,1790.00,2698.00,123.00,135.00,0.97,6240.00,210.00,48.00,4.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.28,0.93,1.31,0.49,2.62,2.91,2.98
Cs2TeCl6,2,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,127.60,2.10,190.20,869.30,1790.00,2698.00,123.00,135.00,0.97,6240.00,210.00,48.00,4.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.32,0.94,1.56,0.54,3.40,3.66,3.69
Cs2TeI6,2,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,127.60,2.10,190.20,869.30,1790.00,2698.00,123.00,135.00,0.97,6240.00,210.00,48.00,4.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,1.23,0.91,1.07,0.44,1.68,2.17,2.29
Cs2TiBr6,2,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,47.87,1.54,7.60,658.80,1309.80,2652.50,176.00,136.00,0.61,4507.00,520.00,425.00,4.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.03,1.06,1.87,0.31,3.64,2.72,2.73
Cs2TiCl6,2,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,47.87,1.54,7.60,658.80,1309.80,2652.50,176.00,136.00,0.61,4507.00,520.00,425.00,4.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.05,1.08,2.23,0.33,4.54,3.53,3.53
Cs2TiI6,2,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,47.87,1.54,7.60,658.80,1309.80,2652.50,176.00,136.00,0.61,4507.00,520.00,425.00,4.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,1.00,1.03,1.53,0.28,2.59,1.86,1.88
Cs2ZrBr6,2,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,91.22,1.33,41.10,640.10,1270.00,2218.00,206.00,148.00,0.72,6511.00,278.00,580.00,4.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,0.92,1.01,2.19,0.37,4.23,4.03,4.04
Cs2ZrCl6,2,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,91.22,1.33,41.10,640.10,1270.00,2218.00,206.00,148.00,0.72,6511.00,278.00,580.00,4.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,0.94,1.03,2.61,0.40,5.36,5.11,5.11
Cs2ZrI6,2,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,91.22,1.33,41.10,640.10,1270.00,2218.00,206.00,148.00,0.72,6511.00,278.00,580.00,4.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,0.91,0.99,1.79,0.33,2.86,2.80,2.83
Cs2GeBr6,2,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,72.63,2.01,119.00,762.00,1537.50,3302.10,125.00,122.00,0.73,5323.00,321.40,334.00,2.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.27,1.01,1.33,0.37,1.71,2.20,2.23
Cs2GeCl6,2,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,72.63,2.01,119.00,762.00,1537.50,3302.10,125.00,122.00,0.73,5323.00,321.40,334.00,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.31,1.03,1.58,0.40,3.43,3.76,3.77
Cs2HfBr6,2,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,1.01,2.20,72.80,1312.00,1440.00,2250.00,208.00,150.00,0.71,0.09,144.00,630.00,4.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,0.92,1.02,2.21,0.36,4.49,4.45,4.46
Cs2HfCl6,2,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,1.01,2.20,72.80,1312.00,1440.00,2250.00,208.00,150.00,0.71,0.09,144.00,630.00,4.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,0.93,1.04,2.63,0.39,5.68,5.57,5.57
Cs2HfI6,2,1,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,1.01,2.20,72.80,1312.00,1440.00,2250.00,208.00,150.00,0.71,0.09,144.00,630.00,4.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,0.90,0.99,1.81,0.32,3.05,3.14,3.17
Rb2TeCl6,2,1,6,85.47,0.82,46.90,403.00,2633.00,3860.00,265.00,211.00,1.72,1532.00,364.00,72.00,127.60,2.10,190.20,869.30,1790.00,2698.00,123.00,135.00,0.97,6240.00,210.00,48.00,4.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,1.13,0.87,1.07,0.44,3.29,3.53,3.57
Cs2NaInBr6,2,2,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,68.90,1.36,40.85,527.05,3191.35,4807.15,173.00,149.00,0.91,4139.00,731.50,163.85,2.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.04,0.95,1.84,0.46,2.97,2.97,2.97
Cs2NaInCl6,2,2,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,68.90,1.36,40.85,527.05,3191.35,4807.15,173.00,149.00,0.91,4139.00,731.50,163.85,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.06,0.96,2.19,0.50,4.49,4.49,4.49
Cs2NaSbBr6,2,2,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,72.37,1.49,78.00,664.90,3078.45,4675.15,161.50,146.00,0.89,3832.50,718.50,82.85,2.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.08,0.95,1.72,0.45,3.21,3.21,3.21
Cs2NaSbCl6,2,2,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,72.37,1.49,78.00,664.90,3078.45,4675.15,161.50,146.00,0.89,3832.50,718.50,82.85,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.11,0.97,2.04,0.49,3.90,3.90,3.90
Cs2AgAsBr6,2,2,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,91.39,2.06,101.80,839.00,1934.00,3048.00,138.50,136.00,0.87,8108.50,281.50,143.70,2.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.19,0.96,1.47,0.44,1.64,1.64,1.64
Cs2AgAsCl6,2,2,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,91.39,2.06,101.80,839.00,1934.00,3048.00,138.50,136.00,0.87,8108.50,281.50,143.70,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.23,0.98,1.75,0.48,2.30,2.30,2.30
Cs2AgAsI6,2,2,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,91.39,2.06,101.80,839.00,1934.00,3048.00,138.50,136.00,0.87,8108.50,281.50,143.70,2.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,1.15,0.94,1.20,0.39,0.92,0.92,0.92
Cs2AgInCl6,2,2,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,111.34,1.86,77.25,644.65,1945.35,3032.50,159.50,148.50,0.98,8900.00,234.00,242.50,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.12,0.94,2.02,0.54,2.46,2.46,2.46
Cs2AgSbBr6,2,2,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,114.81,1.99,114.40,782.50,1832.45,2900.50,148.00,145.50,0.96,8593.50,221.00,161.50,2.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.15,0.93,1.57,0.49,1.67,1.67,1.67
Cs2AgSbCl6,2,2,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,114.81,1.99,114.40,782.50,1832.45,2900.50,148.00,145.50,0.96,8593.50,221.00,161.50,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.17,0.94,1.87,0.53,2.33,2.33,2.33
Cs2AgSbI6,2,2,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,114.81,1.99,114.40,782.50,1832.45,2900.50,148.00,145.50,0.96,8593.50,221.00,161.50,2.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,1.11,0.91,1.29,0.43,0.95,0.95,0.95
Cs2CsGaBr6,2,2,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,101.31,1.30,37.20,477.25,2106.80,3181.50,217.00,175.50,1.15,3891.50,306.50,160.50,2.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,0.89,0.87,2.31,0.58,3.63,3.63,3.63
Cs2CsInCl6,2,2,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,123.86,1.29,37.20,467.00,2027.50,3052.00,227.00,184.50,1.24,4594.50,237.50,147.50,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,0.87,0.86,2.87,0.68,5.31,5.31,5.31
Cs2RbInCl6,2,2,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,100.14,1.30,37.90,480.65,2226.85,3282.00,210.50,177.50,1.16,4421.00,298.50,151.00,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,0.92,0.88,2.66,0.64,5.17,5.17,5.17
Cs2CuAsBr6,2,2,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,69.23,2.04,98.20,846.25,1877.95,3145.00,129.50,128.50,0.66,7343.50,356.20,166.20,2.50,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.24,1.04,1.38,0.33,1.56,1.56,1.56
Cs2CuAsCl6,2,2,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,69.23,2.04,98.20,846.25,1877.95,3145.00,129.50,128.50,0.66,7343.50,356.20,166.20,2.50,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.28,1.06,1.64,0.36,2.18,2.18,2.18
Cs2CuAsI6,2,2,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,69.23,2.04,98.20,846.25,1877.95,3145.00,129.50,128.50,0.66,7343.50,356.20,166.20,2.50,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,1.19,1.01,1.13,0.30,0.57,0.57,0.57
Cs2CuBiBr6,2,2,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,136.26,1.96,104.80,724.25,1783.95,3010.50,144.00,142.00,0.88,9370.00,253.20,230.00,2.50,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.16,0.96,1.53,0.45,1.94,1.94,1.94
Cs2CuBiCl6,2,2,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,136.26,1.96,104.80,724.25,1783.95,3010.50,144.00,142.00,0.88,9370.00,253.20,230.00,2.50,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.20,0.97,1.82,0.49,2.51,2.51,2.51
Cs2CuBiI6,2,2,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,136.26,1.96,104.80,724.25,1783.95,3010.50,144.00,142.00,0.88,9370.00,253.20,230.00,2.50,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,1.13,0.94,1.25,0.40,1.23,1.23,1.23
Cs2CuSbBr6,2,2,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,92.65,1.98,110.80,789.75,1776.40,2997.50,139.00,138.00,0.75,7828.50,295.70,184.00,2.50,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.19,1.00,1.48,0.38,1.59,1.59,1.59
Cs2CuSbCl6,2,2,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,92.65,1.98,110.80,789.75,1776.40,2997.50,139.00,138.00,0.75,7828.50,295.70,184.00,2.50,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.22,1.02,1.76,0.41,2.22,2.22,2.22
Cs2CuSbI6,2,2,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,92.65,1.98,110.80,789.75,1776.40,2997.50,139.00,138.00,0.75,7828.50,295.70,184.00,2.50,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,1.15,0.98,1.21,0.34,0.89,0.89,0.89
Cs2KInBr6,2,2,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,76.96,1.30,38.65,488.55,2436.35,3562.00,199.50,170.00,1.09,4083.00,495.00,153.45,2.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,0.94,0.89,2.12,0.56,3.61,3.61,3.61
Cs2KInCl6,2,2,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,76.96,1.30,38.65,488.55,2436.35,3562.00,199.50,170.00,1.09,4083.00,495.00,153.45,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,0.96,0.90,2.53,0.60,5.07,5.07,5.07
Cs2KSbCl6,2,2,6,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,80.43,1.44,75.80,626.40,2323.45,3430.00,188.00,167.00,1.07,3776.50,482.00,72.45,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.00,0.91,2.38,0.59,4.17,4.17,4.17
K2NaInCl6,2,2,6,39.10,0.82,48.40,418.80,3052.00,4420.00,243.00,196.00,1.64,856.00,757.00,76.90,68.90,1.36,40.85,527.05,3191.35,4807.15,173.00,149.00,0.91,4139.00,731.50,163.85,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,0.90,0.90,2.19,0.50,4.60,4.60,4.60
Rb2AgInCl6,2,2,6,85.47,0.82,46.90,403.00,2633.00,3860.00,265.00,211.00,1.72,1532.00,364.00,72.00,111.34,1.86,77.25,644.65,1945.35,3032.50,159.50,148.50,0.98,8900.00,234.00,242.50,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.02,0.90,2.02,0.54,2.42,2.42,2.42
Rb2AgSbCl6,2,2,6,85.47,0.82,46.90,403.00,2633.00,3860.00,265.00,211.00,1.72,1532.00,364.00,72.00,114.81,1.99,114.40,782.50,1832.45,2900.50,148.00,145.50,0.96,8593.50,221.00,161.50,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.07,0.90,1.87,0.53,2.27,2.27,2.27
Rb2KInCl6,2,2,6,85.47,0.82,46.90,403.00,2633.00,3860.00,265.00,211.00,1.72,1532.00,364.00,72.00,76.96,1.30,38.65,488.55,2436.35,3562.00,199.50,170.00,1.09,4083.00,495.00,153.45,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,0.87,0.86,2.53,0.60,5.12,5.12,5.12
Rb2NaInBr6,2,2,6,85.47,0.82,46.90,403.00,2633.00,3860.00,265.00,211.00,1.72,1532.00,364.00,72.00,68.90,1.36,40.85,527.05,3191.35,4807.15,173.00,149.00,0.91,4139.00,731.50,163.85,2.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,0.95,0.91,1.84,0.46,3.00,3.00,3.00
Rb2NaInCl6,2,2,6,85.47,0.82,46.90,403.00,2633.00,3860.00,265.00,211.00,1.72,1532.00,364.00,72.00,68.90,1.36,40.85,527.05,3191.35,4807.15,173.00,149.00,0.91,4139.00,731.50,163.85,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,0.97,0.92,2.19,0.50,4.56,4.56,4.56
Rb2NaSbCl6,2,2,6,85.47,0.82,46.90,403.00,2633.00,3860.00,265.00,211.00,1.72,1532.00,364.00,72.00,72.37,1.49,78.00,664.90,3078.45,4675.15,161.50,146.00,0.89,3832.50,718.50,82.85,2.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.01,0.92,2.04,0.49,3.90,3.90,3.90
Cs3Al2Br9,3,2,9,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,26.98,1.61,42.50,577.50,1816.70,2744.80,118.00,118.00,0.54,2700.00,904.00,293.00,3.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.31,1.09,1.26,0.27,2.46,2.46,2.46
Cs3Al2Cl9,3,2,9,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,26.98,1.61,42.50,577.50,1816.70,2744.80,118.00,118.00,0.54,2700.00,904.00,293.00,3.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.35,1.11,1.49,0.30,4.01,4.01,4.01
Cs3Al2I9,3,2,9,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,26.98,1.61,42.50,577.50,1816.70,2744.80,118.00,118.00,0.54,2700.00,904.00,293.00,3.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,1.25,1.05,1.03,0.24,0.87,0.87,0.87
Cs3As2Br9,3,2,9,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,74.92,2.18,78.00,947.00,1798.00,2735.00,114.00,119.00,0.58,5727.00,328.00,32.40,3.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.33,1.07,1.21,0.30,2.62,2.62,2.62
Cs3As2Cl9,3,2,9,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,74.92,2.18,78.00,947.00,1798.00,2735.00,114.00,119.00,0.58,5727.00,328.00,32.40,3.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.38,1.09,1.44,0.32,3.28,3.28,3.28
Cs3As2I9,3,2,9,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,74.92,2.18,78.00,947.00,1798.00,2735.00,114.00,119.00,0.58,5727.00,328.00,32.40,3.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,1.28,1.04,0.99,0.26,1.81,1.81,1.81
Cs3B2Br9,3,2,9,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,10.81,2.04,26.70,800.60,2427.10,3659.70,87.00,82.00,0.27,2460.00,1030.00,507.00,3.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.53,1.22,0.93,0.14,1.90,1.90,1.90
Cs3B2Cl9,3,2,9,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,10.81,2.04,26.70,800.60,2427.10,3659.70,87.00,82.00,0.27,2460.00,1030.00,507.00,3.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.61,1.25,1.10,0.15,2.96,2.96,2.96
Cs3B2I9,3,2,9,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,10.81,2.04,26.70,800.60,2427.10,3659.70,87.00,82.00,0.27,2460.00,1030.00,507.00,3.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,1.45,1.17,0.76,0.12,0.37,0.37,0.37
Cs3Bi2Br9,3,2,9,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,69.72,1.81,28.90,578.80,1979.30,2963.00,136.00,126.00,0.62,5904.00,371.00,256.00,3.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.21,1.05,1.45,0.32,2.51,2.51,2.51
Ag3Ga2Br9,3,2,9,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,69.72,1.81,28.90,578.80,1979.30,2963.00,136.00,126.00,0.62,5904.00,371.00,256.00,3.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.24,1.07,1.72,0.34,0.86,0.86,0.86
Ag3Ga2Cl9,3,2,9,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,69.72,1.81,28.90,578.80,1979.30,2963.00,136.00,126.00,0.62,5904.00,371.00,256.00,3.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,1.16,1.02,1.18,0.28,2.33,2.33,2.33
Cs3Bi2Cl9,3,2,9,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,208.98,2.02,91.20,703.00,1610.00,2466.00,143.00,146.00,1.03,9780.00,122.00,160.00,3.00,35.45,3.16,349.00,1251.20,2298.00,3822.00,79.00,99.00,1.81,2030.00,478.20,10.20,1.20,0.92,1.81,0.57,3.01,3.01,3.01
Cs3Bi2I9,3,2,9,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,208.98,2.02,91.20,703.00,1610.00,2466.00,143.00,146.00,1.03,9780.00,122.00,160.00,3.00,126.90,2.66,295.20,1008.40,1845.90,3180.00,115.00,133.00,2.20,4940.00,429.00,20.90,1.13,0.89,1.24,0.47,1.83,1.83,1.83
Cs3Cr2Br9,3,2,9,132.91,0.79,45.50,375.70,2234.30,3400.00,298.00,225.00,1.88,1879.00,242.00,65.00,52.00,1.66,64.30,652.90,1590.60,2987.00,166.00,127.00,0.62,7190.00,448.00,339.00,3.00,79.90,2.96,324.60,1139.90,2103.00,3470.00,94.00,114.00,1.96,3120.00,947.30,14.80,1.07,1.05,1.77,0.31,2.72,2.72,2.72
