,,# of A,# of B,# of X,W_B,EN_B,EA_B,1IE_B,2IE_B,3IE_B,D_B,S_B,HV_B,W_X,S_X,t(AR),u(IR),Eg (eV)
Cs4BeBr6,A4BX6,4,1,6,9.01,1.57,-48.00,899.50,1757.10,14848.70,1848.00,1820.00,297.00,79.90,947.30,1.35,0.23,4.68
Cs4BeCl6,A4BX6,4,1,6,9.01,1.57,-48.00,899.50,1757.10,14848.70,1848.00,1820.00,297.00,35.45,478.20,1.40,0.25,5.57
Cs4Bel6,A4BX6,4,1,6,9.01,1.57,-48.00,899.50,1757.10,14848.70,1848.00,1820.00,297.00,126.90,429.00,1.29,0.20,3.63
Cs4CaBr6,A4BX6,4,1,6,40.08,1.00,2.37,589.80,1145.40,4912.40,1550.00,631.00,155.00,79.90,947.30,0.96,0.51,5.39
Cs4CaCl6,A4BX6,4,1,6,40.08,1.00,2.37,589.80,1145.40,4912.40,1550.00,631.00,155.00,35.45,478.20,0.98,0.55,6.31
Cs4CaI6,A4BX6,4,1,6,40.08,1.00,2.37,589.80,1145.40,4912.40,1550.00,631.00,155.00,126.90,429.00,0.95,0.45,4.57
Cs4CdBr6,A4BX6,4,1,6,112.41,1.69,-68.00,867.80,1631.40,3616.00,7140.00,230.00,119.00,79.90,947.30,1.09,0.48,4.38
Cs4CdCl6,A4BX6,4,1,6,112.41,1.69,-68.00,867.80,1631.40,3616.00,7140.00,230.00,119.00,35.45,478.20,1.11,0.52,5.39
Cs4Cdl6,A4BX6,4,1,6,112.41,1.69,-68.00,867.80,1631.40,3616.00,7140.00,230.00,119.00,126.90,429.00,1.06,0.43,3.31
Cs4CrBr6,A4BX6,4,1,6,52.00,1.66,64.30,652.90,1590.60,2987.00,7190.00,448.00,339.00,79.90,947.30,1.07,0.31,2.66
Cs4CuBr6,A4BX6,4,1,6,63.55,1.90,118.40,745.50,1957.90,3555.00,8960.00,384.40,300.00,79.90,947.30,1.16,0.37,1.25
cs4cuCl6,A4BX6,4,1,6,63.55,1.90,118.40,745.50,1957.90,3555.00,8960.00,384.40,300.00,35.45,478.20,1.19,0.40,2.33
Cs4CuI6,A4BX6,4,1,6,63.55,1.90,118.40,745.50,1957.90,3555.00,8960.00,384.40,300.00,126.90,429.00,1.12,0.33,0.35
Cs4GeBr6,A4BX6,4,1,6,72.63,2.01,119.00,762.00,1537.50,3302.10,5323.00,321.40,334.00,79.90,947.30,1.27,0.37,4.43
Cs4GeCl6,A4BX6,4,1,6,72.63,2.01,119.00,762.00,1537.50,3302.10,5323.00,321.40,334.00,35.45,478.20,1.31,0.40,4.84
Cs4InBr6,A4BX6,4,1,6,114.82,1.78,28.90,558.30,1820.70,2704.00,7310.00,233.00,230.00,79.90,947.30,1.11,0.41,0.59
Cs4InCl6,A4BX6,4,1,6,114.82,1.78,28.90,558.30,1820.70,2704.00,7310.00,233.00,230.00,35.45,478.20,1.13,0.44,0.74
Cs4InI6,A4BX6,4,1,6,114.82,1.78,28.90,558.30,1820.70,2704.00,7310.00,233.00,230.00,126.90,429.00,1.08,0.36,0.37
Cs4MgBr6,A4BX6,4,1,6,24.31,1.31,-40.00,737.70,1450.70,7732.70,1738.00,1020.00,128.00,79.90,947.30,1.16,0.37,5.05
Cs4MgCl6,A4BX6,4,1,6,24.31,1.31,-40.00,737.70,1450.70,7732.70,1738.00,1020.00,128.00,35.45,478.20,1.19,0.40,5.99
Cs4MgI6,A4BX6,4,1,6,24.31,1.31,-40.00,737.70,1450.70,7732.70,1738.00,1020.00,128.00,126.90,429.00,1.12,0.33,4.10
Cs4MnBr6,A4BX6,4,1,6,54.94,1.55,-50.00,717.30,1509.00,3248.00,7470.00,479.00,220.00,79.90,947.30,1.09,0.42,3.87
Cs4MnCl6,A4BX6,4,1,6,54.94,1.55,-50.00,717.30,1509.00,3248.00,7470.00,479.00,220.00,35.45,478.20,1.11,0.46,4.03
Cs4Mnl6,A4BX6,4,1,6,54.94,1.55,-50.00,717.30,1509.00,3248.00,7470.00,479.00,220.00,126.90,429.00,1.06,0.38,3.56
Cs4NiBr6,A4BX6,4,1,6,58.69,1.91,112.00,737.10,1753.00,3395.00,8908.00,445.00,378.00,79.90,947.30,1.14,0.35,3.94
Cs4NiCl6,A4BX6,4,1,6,58.69,1.91,112.00,737.10,1753.00,3395.00,8908.00,445.00,378.00,35.45,478.20,1.17,0.38,4.61
Cs4Nil6,A4BX6,4,1,6,58.69,1.91,112.00,737.10,1753.00,3395.00,8908.00,445.00,378.00,126.90,429.00,1.11,0.31,2.91
Cs4PbBr6,A4BX6,4,1,6,207.20,2.33,35.10,715.60,1450.50,3081.50,11340.00,127.00,178.00,79.90,947.30,1.12,0.61,4.20
Cs4PbCl6,A4BX6,4,1,6,207.20,2.33,35.10,715.60,1450.50,3081.50,11340.00,127.00,178.00,35.45,478.20,1.14,0.66,4.71
Cs4Pbl6,A4BX6,4,1,6,207.20,2.33,35.10,715.60,1450.50,3081.50,11340.00,127.00,178.00,126.90,429.00,1.09,0.54,3.52
Cs4SiBr6,A4BX6,4,1,6,28.09,1.90,133.60,786.50,1577.10,3231.60,2330.00,710.00,359.00,79.90,947.30,1.35,0.20,3.95
Cs4SiCl6,A4BX6,4,1,6,28.09,1.90,133.60,786.50,1577.10,3231.60,2330.00,710.00,359.00,35.45,478.20,1.40,0.22,4.27
Cs4Sil6,A4BX6,4,1,6,28.09,1.90,133.60,786.50,1577.10,3231.60,2330.00,710.00,359.00,126.90,429.00,1.29,0.18,3.46
Cs4SnBr6,A4BX6,4,1,6,118.71,1.61,42.50,577.50,1411.80,2943.00,2700.00,217.00,293.00,79.90,947.30,1.16,0.35,4.11
Cs4SnCl6,A4BX6,4,1,6,118.71,1.61,42.50,577.50,1411.80,2943.00,2700.00,217.00,293.00,35.45,478.20,1.19,0.38,4.47
Cs4SrBr6,A4BX6,4,1,6,87.62,0.95,5.03,549.50,1064.20,4138.00,2630.00,300.00,137.00,79.90,947.30,0.89,0.60,5.40
Cs4SrCl6,A4BX6,4,1,6,87.62,0.95,5.03,549.50,1064.20,4138.00,2630.00,300.00,137.00,35.45,478.20,0.89,0.65,6.31
Cs4Srl6,A4BX6,4,1,6,87.62,0.95,5.03,549.50,1064.20,4138.00,2630.00,300.00,137.00,126.90,429.00,0.87,0.54,4.58
Cs4TiBr6,A4BX6,4,1,6,47.87,1.54,7.60,658.80,1309.80,2652.50,4507.00,520.00,425.00,79.90,947.30,1.03,0.31,2.51
Cs4TiCl6,A4BX6,4,1,6,47.87,1.54,7.60,658.80,1309.80,2652.50,4507.00,520.00,425.00,35.45,478.20,1.05,0.33,2.30
Cs4TiI6,A4BX6,4,1,6,47.87,1.54,7.60,658.80,1309.80,2652.50,4507.00,520.00,425.00,126.90,429.00,1.00,0.28,2.37
Cs4VBr6,A4BX6,4,1,6,50.94,1.63,50.60,650.90,1414.00,2830.00,6110.00,489.00,453.00,79.90,947.30,1.05,0.28,3.26
Cs4VCl6,A4BX6,4,1,6,50.94,1.63,50.60,650.90,1414.00,2830.00,6110.00,489.00,453.00,35.45,478.20,1.07,0.30,3.26
Cs4VI6,A4BX6,4,1,6,50.94,1.63,50.60,650.90,1414.00,2830.00,6110.00,489.00,453.00,126.90,429.00,1.02,0.25,3.46
Cs4ZnBr6,A4BX6,4,1,6,65.38,1.65,-58.00,906.40,1733.30,3833.00,7140.00,388.00,119.00,79.90,947.30,1.17,0.38,4.37
Cs4ZnCl6,A4BX6,4,1,6,65.38,1.65,-58.00,906.40,1733.30,3833.00,7140.00,388.00,119.00,35.45,478.20,1.21,0.41,5.47
Cs4ZnI6,A4BX6,4,1,6,65.38,1.65,-58.00,906.40,1733.30,3833.00,7140.00,388.00,119.00,126.90,429.00,1.14,0.34,3.14
