,,# of A,# of B,# of X,W_B,EN_B,EA_B,1IE_B,2IE_B,3IE_B,D_B,S_B,HV_B,W_X,S_X,t(AR),u(IR),Eg (eV)
KPbBr3,ABX3,1,1,3,207.20,2.33,35.10,715.60,1450.50,3081.50,11340.00,127.00,178.00,79.90,947.30,0.96,0.61,1.18
KPbCl3,ABX3,1,1,3,207.20,2.33,35.10,715.60,1450.50,3081.50,11340.00,127.00,178.00,35.45,478.20,0.98,0.66,1.70
KPbI3,ABX3,1,1,3,207.20,2.33,35.10,715.60,1450.50,3081.50,11340.00,127.00,178.00,126.90,429.00,0.94,0.54,0.71
KSiBr3,ABX3,1,1,3,28.09,1.90,133.60,786.50,1577.10,3231.60,2330.00,710.00,359.00,79.90,947.30,1.16,0.20,0.09
KSiCl3,ABX3,1,1,3,28.09,1.90,133.60,786.50,1577.10,3231.60,2330.00,710.00,359.00,35.45,478.20,1.20,0.22,0.08
KSnBr3,ABX3,1,1,3,118.71,1.61,42.50,577.50,1411.80,2943.00,2700.00,217.00,293.00,79.90,947.30,1.00,0.35,0.46
KSnCl3,ABX3,1,1,3,118.71,1.61,42.50,577.50,1411.80,2943.00,2700.00,217.00,293.00,35.45,478.20,1.02,0.38,0.95
KSnI3,ABX3,1,1,3,118.71,1.61,42.50,577.50,1411.80,2943.00,2700.00,217.00,293.00,126.90,429.00,0.97,0.31,0.12
RbGeBr3,ABX3,1,1,3,72.63,2.01,119.00,762.00,1537.50,3302.10,5323.00,321.40,334.00,79.90,947.30,1.16,0.37,0.88
RbGeCl3,ABX3,1,1,3,72.63,2.01,119.00,762.00,1537.50,3302.10,5323.00,321.40,334.00,35.45,478.20,1.19,0.40,1.26
RbGeI3,ABX3,1,1,3,72.63,2.01,119.00,762.00,1537.50,3302.10,5323.00,321.40,334.00,126.90,429.00,1.12,0.33,0.62
RbPbBr3,ABX3,1,1,3,207.20,2.33,35.10,715.60,1450.50,3081.50,11340.00,127.00,178.00,79.90,947.30,1.02,0.61,1.22
RbPbCl3,ABX3,1,1,3,207.20,2.33,35.10,715.60,1450.50,3081.50,11340.00,127.00,178.00,35.45,478.20,1.04,0.66,1.74
RbPbI3,ABX3,1,1,3,207.20,2.33,35.10,715.60,1450.50,3081.50,11340.00,127.00,178.00,126.90,429.00,1.00,0.54,0.74
RbSiBr3,ABX3,1,1,3,28.09,1.90,133.60,786.50,1577.10,3231.60,2330.00,710.00,359.00,79.90,947.30,1.24,0.20,0.09
RbSnBr3,ABX3,1,1,3,118.71,1.61,42.50,577.50,1411.80,2943.00,2700.00,217.00,293.00,79.90,947.30,1.06,0.35,0.50
RbSnCl3,ABX3,1,1,3,118.71,1.61,42.50,577.50,1411.80,2943.00,2700.00,217.00,293.00,35.45,478.20,1.09,0.38,1.00
RbSnI3,ABX3,1,1,3,118.71,1.61,42.50,577.50,1411.80,2943.00,2700.00,217.00,293.00,126.90,429.00,1.03,0.31,0.19
Cs2PbBr6,A2BX6,2,1,6,207.20,2.33,35.10,715.60,1450.50,3081.50,11340.00,127.00,178.00,79.90,947.30,1.12,0.61,0.99
Cs2PbCl6,A2BX6,2,1,6,207.20,2.33,35.10,715.60,1450.50,3081.50,11340.00,127.00,178.00,35.45,478.20,1.14,0.66,2.38
Cs2SnCl6,A2BX6,2,1,6,118.71,1.61,42.50,577.50,1411.80,2943.00,2700.00,217.00,293.00,126.90,429.00,1.12,0.31,3.90
Cs2TeBr6,A2BX6,2,1,6,127.60,2.10,190.20,869.30,1790.00,2698.00,6240.00,210.00,48.00,79.90,947.30,1.28,0.49,2.62
Cs2TeCl6,A2BX6,2,1,6,127.60,2.10,190.20,869.30,1790.00,2698.00,6240.00,210.00,48.00,35.45,478.20,1.32,0.54,3.40
Cs2TeI6,A2BX6,2,1,6,127.60,2.10,190.20,869.30,1790.00,2698.00,6240.00,210.00,48.00,126.90,429.00,1.23,0.44,1.68
Cs2TiBr6,A2BX6,2,1,6,47.87,1.54,7.60,658.80,1309.80,2652.50,4507.00,520.00,425.00,79.90,947.30,1.03,0.31,3.64
Cs2TiCl6,A2BX6,2,1,6,47.87,1.54,7.60,658.80,1309.80,2652.50,4507.00,520.00,425.00,35.45,478.20,1.05,0.33,4.54
Cs2TiI6,A2BX6,2,1,6,47.87,1.54,7.60,658.80,1309.80,2652.50,4507.00,520.00,425.00,126.90,429.00,1.00,0.28,2.59
Cs2ZrBr6,A2BX6,2,1,6,91.22,1.33,41.10,640.10,1270.00,2218.00,6511.00,278.00,580.00,79.90,947.30,0.92,0.37,4.23
Cs2ZrCl6,A2BX6,2,1,6,91.22,1.33,41.10,640.10,1270.00,2218.00,6511.00,278.00,580.00,35.45,478.20,0.94,0.40,5.36
Cs2ZrI6,A2BX6,2,1,6,91.22,1.33,41.10,640.10,1270.00,2218.00,6511.00,278.00,580.00,126.90,429.00,0.91,0.33,2.86
Cs2GeBr6,A2BX6,2,1,6,72.63,2.01,119.00,762.00,1537.50,3302.10,5323.00,321.40,334.00,79.90,947.30,1.27,0.37,1.71
Cs2GeCl6,A2BX6,2,1,6,72.63,2.01,119.00,762.00,1537.50,3302.10,5323.00,321.40,334.00,35.45,478.20,1.31,0.40,3.43
