,Band gap (eV),Structure,A-site,B-site,B'-site,X-site,W_B,EN_B,EA_B,1IE_B,2IE_B,3IE_B,D_B,S_B,HV_B,W_X,S_X,t(AR),u(IR)
KGeCl3,1.16,ABX3,K,Ge,,Cl,72.63,2.01,119.00,762.00,1537.50,3302.10,5323.00,321.40,334.00,35.45,478.20,1.12,0.40
KGeI3,0.56,ABX3,K,Ge,,I,72.63,2.01,119.00,762.00,1537.50,3302.10,5323.00,321.40,334.00,126.90,429.00,1.05,0.33
KPbBr3,1.18,ABX3,K,Pb,,Br,207.20,2.33,35.10,715.60,1450.50,3081.50,11340.00,127.00,178.00,79.90,947.30,0.96,0.61
KPbCl3,1.70,ABX3,K,Pb,,Cl,207.20,2.33,35.10,715.60,1450.50,3081.50,11340.00,127.00,178.00,35.45,478.20,0.98,0.66
KPbI3,0.71,ABX3,K,Pb,,I,207.20,2.33,35.10,715.60,1450.50,3081.50,11340.00,127.00,178.00,126.90,429.00,0.94,0.54
KSiBr3,0.09,ABX3,K,Si,,Br,28.09,1.90,133.60,786.50,1577.10,3231.60,2330.00,710.00,359.00,79.90,947.30,1.16,0.20
KSiCl3,0.08,ABX3,K,Si,,Cl,28.09,1.90,133.60,786.50,1577.10,3231.60,2330.00,710.00,359.00,35.45,478.20,1.20,0.22
KSnBr3,0.46,ABX3,K,Sn,,Br,118.71,1.61,42.50,577.50,1411.80,2943.00,2700.00,217.00,293.00,79.90,947.30,1.00,0.35
KSnCl3,0.95,ABX3,K,Sn,,Cl,118.71,1.61,42.50,577.50,1411.80,2943.00,2700.00,217.00,293.00,35.45,478.20,1.02,0.38
KSnI3,0.12,ABX3,K,Sn,,I,118.71,1.61,42.50,577.50,1411.80,2943.00,2700.00,217.00,293.00,126.90,429.00,0.97,0.31
RbGeBr3,0.88,ABX3,Rb,Ge,,Br,72.63,2.01,119.00,762.00,1537.50,3302.10,5323.00,321.40,334.00,79.90,947.30,1.16,0.37
RbGeCl3,1.26,ABX3,Rb,Ge,,Cl,72.63,2.01,119.00,762.00,1537.50,3302.10,5323.00,321.40,334.00,35.45,478.20,1.19,0.40
RbGeI3,0.62,ABX3,Rb,Ge,,I,72.63,2.01,119.00,762.00,1537.50,3302.10,5323.00,321.40,334.00,126.90,429.00,1.12,0.33
RbPbBr3,1.22,ABX3,Rb,Pb,,Br,207.20,2.33,35.10,715.60,1450.50,3081.50,11340.00,127.00,178.00,79.90,947.30,1.02,0.61
RbPbCl3,1.74,ABX3,Rb,Pb,,Cl,207.20,2.33,35.10,715.60,1450.50,3081.50,11340.00,127.00,178.00,35.45,478.20,1.04,0.66
RbPbI3,0.74,ABX3,Rb,Pb,,I,207.20,2.33,35.10,715.60,1450.50,3081.50,11340.00,127.00,178.00,126.90,429.00,1.00,0.54
RbSiBr3,0.09,ABX3,Rb,Si,,Br,28.09,1.90,133.60,786.50,1577.10,3231.60,2330.00,710.00,359.00,79.90,947.30,1.24,0.20
RbSnBr3,0.50,ABX3,Rb,Sn,,Br,118.71,1.61,42.50,577.50,1411.80,2943.00,2700.00,217.00,293.00,79.90,947.30,1.06,0.35
RbSnCl3,1.00,ABX3,Rb,Sn,,Cl,118.71,1.61,42.50,577.50,1411.80,2943.00,2700.00,217.00,293.00,35.45,478.20,1.09,0.38
RbSnI3,0.19,ABX3,Rb,Sn,,I,118.71,1.61,42.50,577.50,1411.80,2943.00,2700.00,217.00,293.00,126.90,429.00,1.03,0.31
Cs2PbBr6,1.50,A2BX6,Cs,Pb,,Br,207.20,2.33,35.10,715.60,1450.50,3081.50,11340.00,127.00,178.00,79.90,947.30,1.12,0.61
Cs2PbCl6,2.75,A2BX6,Cs,Pb,,Cl,207.20,2.33,35.10,715.60,1450.50,3081.50,11340.00,127.00,178.00,35.45,478.20,1.14,0.66
Cs2SnCl6,4.23,A2BX6,Cs,Sn,,Cl,118.71,1.61,42.50,577.50,1411.80,2943.00,2700.00,217.00,293.00,126.90,429.00,1.12,0.31
