,Band gap (eV),Structure,A-site,B-site,B'-site,X-site,W_B,EN_B,EA_B,1IE_B,2IE_B,3IE_B,D_B,S_B,HV_B,W_X,S_X,t(AR),u(IR)
Rb3Ga2Br9,1.38,A3B2X9,Rb,Ga,,Br,69.72,1.81,28.90,578.80,1979.30,2963.00,5904.00,371.00,256.00,79.90,947.30,1.10,0.32
Rb3Ga2Cl9,2.77,A3B2X9,Rb,Ga,,Cl ,69.72,1.81,28.90,578.80,1979.30,2963.00,5904.00,371.00,256.00,35.45,478.20,1.13,0.34
Rb3In2Br9,1.77,A3B2X9,Rb,In,,Br,114.82,1.78,28.90,558.30,1820.70,2704.00,7310.00,233.00,230.00,79.90,947.30,1.02,0.41
Rb3In2Cl9,3.14,A3B2X9,Rb,In,,Cl,114.82,1.78,28.90,558.30,1820.70,2704.00,7310.00,233.00,230.00,35.45,478.20,1.04,0.44
Rb3In2I9,0.32,A3B2X9,Rb,In,,I,114.82,1.78,28.90,558.30,1820.70,2704.00,7310.00,233.00,230.00,126.90,429.00,0.99,0.36
Rb3Sb2Br9,2.32,A3B2X9,Rb,Sb,,Br,121.76,2.05,103.20,834.00,1594.90,2440.00,6697.00,207.00,68.00,79.90,947.30,1.12,0.39
Rb3Sb2Cl9,2.70,A3B2X9,Rb,Sb,,Cl,121.76,2.05,103.20,834.00,1594.90,2440.00,6697.00,207.00,68.00,35.45,478.20,1.15,0.42
Rb3Sb2I9,1.71,A3B2X9,Rb,Sb,,I,121.76,2.05,103.20,834.00,1594.90,2440.00,6697.00,207.00,68.00,126.90,429.00,1.08,0.35
Cs4BaBr6,5.38,A4BX6,Cs,Ba,,Br,137.33,0.89,13.95,502.90,965.20,3600.00,3510.00,205.00,140.00,79.90,947.30,0.80,0.69
Cs4BaCl6,6.28,A4BX6,Cs,Ba,,Cl,137.33,0.89,13.95,502.90,965.20,3600.00,3510.00,205.00,140.00,35.45,478.20,0.80,0.75
Cs4BI6,4.58,A4BX6,Cs,B,,I,137.33,0.89,13.95,502.90,965.20,3600.00,3510.00,205.00,140.00,126.90,429.00,0.79,0.61
Cs4BeBr6,4.68,A4BX6,Cs,Be,,Br,9.01,1.57,-48.00,899.50,1757.10,14848.70,1848.00,1820.00,297.00,79.90,947.30,1.35,0.23
Cs4BeCl6,5.57,A4BX6,Cs,Be,,Cl,9.01,1.57,-48.00,899.50,1757.10,14848.70,1848.00,1820.00,297.00,35.45,478.20,1.40,0.25
Cs4BeI6,3.63,A4BX6,Cs,Be,,I,9.01,1.57,-48.00,899.50,1757.10,14848.70,1848.00,1820.00,297.00,126.90,429.00,1.29,0.20
Cs4CaBr6,5.39,A4BX6,Cs,Ca,,Br,40.08,1.00,2.37,589.80,1145.40,4912.40,1550.00,631.00,155.00,79.90,947.30,0.96,0.51
Cs4CaCl6,6.31,A4BX6,Cs,Ca,,Cl,40.08,1.00,2.37,589.80,1145.40,4912.40,1550.00,631.00,155.00,35.45,478.20,0.98,0.55
Cs4CaI6,4.57,A4BX6,Cs,Ca,,I,40.08,1.00,2.37,589.80,1145.40,4912.40,1550.00,631.00,155.00,126.90,429.00,0.95,0.45
Cs4CdBr6,4.38,A4BX6,Cs,Cd,,Br,112.41,1.69,-68.00,867.80,1631.40,3616.00,7140.00,230.00,119.00,79.90,947.30,1.09,0.48
Cs4CdCl6,5.39,A4BX6,Cs,Cd,,Cl,112.41,1.69,-68.00,867.80,1631.40,3616.00,7140.00,230.00,119.00,35.45,478.20,1.11,0.52
Cs4CdI6,3.31,A4BX6,Cs,Cd,,I,112.41,1.69,-68.00,867.80,1631.40,3616.00,7140.00,230.00,119.00,126.90,429.00,1.06,0.43
Cs4CrBr6,2.66,A4BX6,Cs,Cr,,Br,52.00,1.66,64.30,652.90,1590.60,2987.00,7190.00,448.00,339.00,79.90,947.30,1.07,0.31
Cs4CuBr6,1.25,A4BX6,Cs,Cu,,Br,63.55,1.90,118.40,745.50,1957.90,3555.00,8960.00,384.40,300.00,79.90,947.30,1.16,0.37
cs4CuCl6,2.33,A4BX6,Cs,Cu,,Cl,63.55,1.90,118.40,745.50,1957.90,3555.00,8960.00,384.40,300.00,35.45,478.20,1.19,0.40
Cs4CuI6,0.35,A4BX6,Cs,Cu,,I,63.55,1.90,118.40,745.50,1957.90,3555.00,8960.00,384.40,300.00,126.90,429.00,1.12,0.33
Cs4GeBr6,4.43,A4BX6,Cs,Ge,,Br,72.63,2.01,119.00,762.00,1537.50,3302.10,5323.00,321.40,334.00,79.90,947.30,1.27,0.37
Cs4GeCl6,4.84,A4BX6,Cs,Ge,,Cl,72.63,2.01,119.00,762.00,1537.50,3302.10,5323.00,321.40,334.00,35.45,478.20,1.31,0.40
Cs4InBr6,0.59,A4BX6,Cs,In,,Br,114.82,1.78,28.90,558.30,1820.70,2704.00,7310.00,233.00,230.00,79.90,947.30,1.11,0.41
Cs4InCl6,0.74,A4BX6,Cs,In,,Cl,114.82,1.78,28.90,558.30,1820.70,2704.00,7310.00,233.00,230.00,35.45,478.20,1.13,0.44
Cs4InI6,0.37,A4BX6,Cs,In,,I,114.82,1.78,28.90,558.30,1820.70,2704.00,7310.00,233.00,230.00,126.90,429.00,1.08,0.36
Cs4MgBr6,5.05,A4BX6,Cs,Mg,,Br,24.31,1.31,-40.00,737.70,1450.70,7732.70,1738.00,1020.00,128.00,79.90,947.30,1.16,0.37
Cs4MgCl6,5.99,A4BX6,Cs,Mg,,Cl,24.31,1.31,-40.00,737.70,1450.70,7732.70,1738.00,1020.00,128.00,35.45,478.20,1.19,0.40
Cs4MgI6,4.10,A4BX6,Cs,Mg,,I,24.31,1.31,-40.00,737.70,1450.70,7732.70,1738.00,1020.00,128.00,126.90,429.00,1.12,0.33
Cs4MnBr6,3.87,A4BX6,Cs,Mn,,Br,54.94,1.55,-50.00,717.30,1509.00,3248.00,7470.00,479.00,220.00,79.90,947.30,1.09,0.42
Cs4MnCl6,4.03,A4BX6,Cs,Mn,,Cl,54.94,1.55,-50.00,717.30,1509.00,3248.00,7470.00,479.00,220.00,35.45,478.20,1.11,0.46
Cs4MnI6,3.56,A4BX6,Cs,Mn,,I,54.94,1.55,-50.00,717.30,1509.00,3248.00,7470.00,479.00,220.00,126.90,429.00,1.06,0.38
Cs4NiBr6,3.94,A4BX6,Cs,Ni,,Br,58.69,1.91,112.00,737.10,1753.00,3395.00,8908.00,445.00,378.00,79.90,947.30,1.14,0.35
Cs4NiCl6,4.61,A4BX6,Cs,Ni,,Cl,58.69,1.91,112.00,737.10,1753.00,3395.00,8908.00,445.00,378.00,35.45,478.20,1.17,0.38
Cs4NiI6,2.91,A4BX6,Cs,Ni,,I,58.69,1.91,112.00,737.10,1753.00,3395.00,8908.00,445.00,378.00,126.90,429.00,1.11,0.31
Cs4PbBr6,4.20,A4BX6,Cs,Pb,,Br,207.20,2.33,35.10,715.60,1450.50,3081.50,11340.00,127.00,178.00,79.90,947.30,1.12,0.61
Cs4PbCl6,4.71,A4BX6,Cs,Pb,,Cl,207.20,2.33,35.10,715.60,1450.50,3081.50,11340.00,127.00,178.00,35.45,478.20,1.14,0.66
Cs4PbI6,3.52,A4BX6,Cs,Pb,,I,207.20,2.33,35.10,715.60,1450.50,3081.50,11340.00,127.00,178.00,126.90,429.00,1.09,0.54
Cs4SiBr6,3.95,A4BX6,Cs,Si,,Br,28.09,1.90,133.60,786.50,1577.10,3231.60,2330.00,710.00,359.00,79.90,947.30,1.35,0.20
Cs4SiCl6,4.27,A4BX6,Cs,Si,,Cl,28.09,1.90,133.60,786.50,1577.10,3231.60,2330.00,710.00,359.00,35.45,478.20,1.40,0.22
Cs4SiI6,3.46,A4BX6,Cs,Si,,I,28.09,1.90,133.60,786.50,1577.10,3231.60,2330.00,710.00,359.00,126.90,429.00,1.29,0.18
Cs4SnBr6,4.11,A4BX6,Cs,Sn,,Br,118.71,1.61,42.50,577.50,1411.80,2943.00,2700.00,217.00,293.00,79.90,947.30,1.16,0.35
Cs4SnCl6,4.47,A4BX6,Cs,Sn,,Cl,118.71,1.61,42.50,577.50,1411.80,2943.00,2700.00,217.00,293.00,35.45,478.20,1.19,0.38
Cs4SrBr6,5.40,A4BX6,Cs,Sr,,Br,87.62,0.95,5.03,549.50,1064.20,4138.00,2630.00,300.00,137.00,79.90,947.30,0.89,0.60
Cs4SrCl6,6.31,A4BX6,Cs,Sr,,Cl,87.62,0.95,5.03,549.50,1064.20,4138.00,2630.00,300.00,137.00,35.45,478.20,0.89,0.65
Cs4SrI6,4.58,A4BX6,Cs,Sr,,I,87.62,0.95,5.03,549.50,1064.20,4138.00,2630.00,300.00,137.00,126.90,429.00,0.87,0.54
Cs4TiBr6,2.51,A4BX6,Cs,Ti,,Br,47.87,1.54,7.60,658.80,1309.80,2652.50,4507.00,520.00,425.00,79.90,947.30,1.03,0.31
Cs4TiCl6,2.30,A4BX6,Cs,Ti,,Cl,47.87,1.54,7.60,658.80,1309.80,2652.50,4507.00,520.00,425.00,35.45,478.20,1.05,0.33
Cs4TiI6,2.37,A4BX6,Cs,Ti,,I,47.87,1.54,7.60,658.80,1309.80,2652.50,4507.00,520.00,425.00,126.90,429.00,1.00,0.28
Cs4VBr6,3.26,A4BX6,Cs,V,,Br,50.94,1.63,50.60,650.90,1414.00,2830.00,6110.00,489.00,453.00,79.90,947.30,1.05,0.28
Cs4VCl6,3.26,A4BX6,Cs,V,,Cl,50.94,1.63,50.60,650.90,1414.00,2830.00,6110.00,489.00,453.00,35.45,478.20,1.07,0.30
Cs4VI6,3.46,A4BX6,Cs,V,,I,50.94,1.63,50.60,650.90,1414.00,2830.00,6110.00,489.00,453.00,126.90,429.00,1.02,0.25
Cs4ZnBr6,4.37,A4BX6,Cs,Zn,,Br,65.38,1.65,-58.00,906.40,1733.30,3833.00,7140.00,388.00,119.00,79.90,947.30,1.17,0.38
Cs4ZnCl6,5.47,A4BX6,Cs,Zn,,Cl,65.38,1.65,-58.00,906.40,1733.30,3833.00,7140.00,388.00,119.00,35.45,478.20,1.21,0.41
Cs4ZnI6,3.14,A4BX6,Cs,Zn,,I,65.38,1.65,-58.00,906.40,1733.30,3833.00,7140.00,388.00,119.00,126.90,429.00,1.14,0.34
